Key,Name,ballotpedia_id,Party,District,Status,Date Declared,Retiring,Seeking other Office,Running Senate,Cooke,Inside,Sabato
261,Karen Crnkovich,https://ballotpedia.org/Karen_Crnkovich,Republican,U.S. House Kansas District 3,Candidacy Declared,"Jun 14, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
262,Prasanth Reddy,https://ballotpedia.org/Prasanth_Reddy,Republican,U.S. House Kansas District 3,Candidacy Declared,"Jul 19, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
263,Jonathon Westbrook,https://ballotpedia.org/Jonathon_Westbrook,Republican,U.S. House Kansas District 3,Candidacy Declared,"Aug 17, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
264,Ron Estes,https://ballotpedia.org/Ron_Estes_(U.S._House_representative),Republican,U.S. House Kansas District 4,Candidacy Declared,"Jul 24, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
265,Michael Soetaert,https://ballotpedia.org/Michael_Soetaert,Democratic,U.S. House Kansas District 4,Candidacy Declared,"Aug 24, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
266,Brad Finstad,https://ballotpedia.org/Brad_Finstad,Republican,U.S. House Minnesota District 1,Candidacy Declared,"Jul 16, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
267,Angie Craig,https://ballotpedia.org/Angie_Craig,Democratic,U.S. House Minnesota District 2,Candidacy Declared,"Jul 16, 2023",No,No,No,Likely Democratic,Lean Democratic,Lean Democratic
268,Mike Murphy,https://ballotpedia.org/Mike_Murphy_(Minnesota),Republican,U.S. House Minnesota District 2,Candidacy Declared,"Sep 26, 2023",No,No,No,Likely Democratic,Lean Democratic,Lean Democratic
269,Tayler Rahm,https://ballotpedia.org/Tayler_Rahm,Republican,U.S. House Minnesota District 2,Candidacy Declared,"Jun 6, 2023",No,No,No,Likely Democratic,Lean Democratic,Lean Democratic
270,Joe Teirab,https://ballotpedia.org/Joe_Teirab,Republican,U.S. House Minnesota District 2,Candidacy Declared,"Oct 22, 2023",No,No,No,Likely Democratic,Lean Democratic,Lean Democratic
271,Dean Phillips,https://ballotpedia.org/Dean_Phillips,Democratic,U.S. House Minnesota District 3,Candidacy Declared,"Jul 16, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
272,Blaize Harty,https://ballotpedia.org/Blaize_Harty,Republican,U.S. House Minnesota District 3,Candidacy Declared,"Oct 16, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
273,Ron Harris,https://ballotpedia.org/Ron_Harris,Democratic,U.S. House Minnesota District 3,Candidacy Declared,"Oct 23, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
274,Betty McCollum,https://ballotpedia.org/Betty_McCollum,Democratic,U.S. House Minnesota District 4,Candidacy Declared,"Jul 16, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
275,Mike Casey,https://ballotpedia.org/Mike_Casey_(Minnesota),Republican,U.S. House Minnesota District 4,Candidacy Declared,"Sep 11, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
276,Tim Peterson,https://ballotpedia.org/Tim_Peterson_(Minnesota),Democratic,U.S. House Minnesota District 5,Candidacy Declared,"Sep 8, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
277,Ilhan Omar,https://ballotpedia.org/Ilhan_Omar,Democratic,U.S. House Minnesota District 5,Candidacy Declared,"Jul 16, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
278,Sarah Gad,https://ballotpedia.org/Sarah_Gad,Democratic,U.S. House Minnesota District 5,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
279,Dalia al-Aqidi,https://ballotpedia.org/Dalia_al-Aqidi,Republican,U.S. House Minnesota District 5,Candidacy Declared,"Sep 22, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
280,Tom Emmer,https://ballotpedia.org/Tom_Emmer,Republican,U.S. House Minnesota District 6,Candidacy Declared,"Jul 16, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
281,Michelle Fischbach,https://ballotpedia.org/Michelle_Fischbach,Republican,U.S. House Minnesota District 7,Candidacy Declared,"Jul 16, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
282,Stephen Boyd,https://ballotpedia.org/Stephen_Boyd_(Minnesota),Republican,U.S. House Minnesota District 7,Candidacy Declared,"Oct 10, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
283,Pete Stauber,https://ballotpedia.org/Pete_Stauber,Republican,U.S. House Minnesota District 8,Candidacy Declared,"Jul 16, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
284,Nancy Goroff,https://ballotpedia.org/Nancy_Goroff,Democratic,U.S. House New York District 1,Candidacy Declared,"Oct 11, 2023",No,No,No,Likely Republican,Lean Republican,Likely Republican
285,James Gaughran,https://ballotpedia.org/James_Gaughran,Democratic,U.S. House New York District 1,Candidacy Declared,"Aug 14, 2023",No,No,No,Likely Republican,Lean Republican,Likely Republican
286,Nicholas J. LaLota,https://ballotpedia.org/Nicholas_J._LaLota,Republican,U.S. House New York District 1,Candidacy Declared,"Jul 14, 2023",No,No,No,Likely Republican,Lean Republican,Likely Republican
287,Darrion Stewart,https://ballotpedia.org/Darrion_Stewart,Republican,U.S. House New York District 1,Withdrew,"Jun 20, 2023",No,No,No,Likely Republican,Lean Republican,Likely Republican
288,Andy DeCecco,https://ballotpedia.org/Andy_DeCecco,Democratic,U.S. House New York District 1,Candidacy Declared,"Aug 18, 2023",No,No,No,Likely Republican,Lean Republican,Likely Republican
289,Patrick Denman,https://ballotpedia.org/Patrick_Denman,Independent,U.S. House New York District 1,Candidacy Declared,"Sep 7, 2023",No,No,No,Likely Republican,Lean Republican,Likely Republican
290,Craig Herskowitz,https://ballotpedia.org/Craig_Herskowitz_(New_York),Democratic,U.S. House New York District 1,Candidacy Declared,"Sep 11, 2023",No,No,No,Likely Republican,Lean Republican,Likely Republican
291,Muzib Huq,https://ballotpedia.org/Muzib_Huq,Democratic,U.S. House New York District 2,Withdrew,"May 18, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
292,Andrew Garbarino,https://ballotpedia.org/Andrew_Garbarino,Republican,U.S. House New York District 2,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
293,Rob Lubin,https://ballotpedia.org/Rob_Lubin,Democratic,U.S. House New York District 2,Candidacy Declared,"May 31, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
294,Philip Grillo,https://ballotpedia.org/Philip_Grillo,Republican,U.S. House New York District 3,Candidacy Declared,"May 8, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
295,William Murphy,https://ballotpedia.org/William_Murphy_(New_York),Democratic,U.S. House New York District 3,Candidacy Declared,"Apr 28, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
296,Kellen Curry,https://ballotpedia.org/Kellen_Curry,Republican,U.S. House New York District 3,Candidacy Declared,"Apr 11, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
297,Joshua Lafazan,https://ballotpedia.org/Joshua_Lafazan,Democratic,U.S. House New York District 3,Candidacy Declared,"Apr 24, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
298,George Devolder-Santos,https://ballotpedia.org/George_Devolder-Santos,Republican,U.S. House New York District 3,Candidacy Declared,"Mar 20, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
299,Peter Christofides,https://ballotpedia.org/Peter_Christofides,Republican,U.S. House New York District 3,Candidacy Declared,"Sep 7, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
300,Tom Suozzi,https://ballotpedia.org/Tom_Suozzi,Democratic,U.S. House New York District 3,Candidacy Declared,"Oct 10, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
301,Anna Kaplan,https://ballotpedia.org/Anna_Kaplan,Democratic,U.S. House New York District 3,Candidacy Declared,"May 8, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
302,Zak Malamed,https://ballotpedia.org/Zak_Malamed,Democratic,U.S. House New York District 3,Candidacy Declared,"May 23, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
303,Darius Radzius,https://ballotpedia.org/Darius_Radzius,Democratic,U.S. House New York District 3,Candidacy Declared,"May 25, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
304,Thomas Ludwig,https://ballotpedia.org/Thomas_Ludwig,Republican,U.S. House New York District 3,Candidacy Declared,"Sep 11, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
305,Daniel Foti,https://ballotpedia.org/Daniel_Foti,Conservative Party,U.S. House New York District 3,Candidacy Declared,"Oct 6, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
306,Matthew Nappo,https://ballotpedia.org/Matthew_Nappo,Independent,U.S. House New York District 3,Candidacy Declared,"Jul 4, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
307,Scott Livingston,https://ballotpedia.org/Scott_Livingston,Democratic,U.S. House New York District 3,Candidacy Declared,"Jul 19, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
308,Mike Sapraicone,https://ballotpedia.org/Mike_Sapraicone,Republican,U.S. House New York District 3,Candidacy Declared,"Jul 27, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
309,Harvey Manes,https://ballotpedia.org/Harvey_Manes,Republican,U.S. House New York District 3,Candidacy Declared,"Aug 2, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
310,Gregory Hach,https://ballotpedia.org/Gregory_Hach,Republican,U.S. House New York District 3,Candidacy Declared,"Aug 2, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
311,Daniel Norber,https://ballotpedia.org/Daniel_Norber,Republican,U.S. House New York District 3,Candidacy Declared,"Aug 7, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
312,Austin Cheng,https://ballotpedia.org/Austin_Cheng,Democratic,U.S. House New York District 3,Candidacy Declared,"Aug 10, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
313,Steve Behar,https://ballotpedia.org/Steve_Behar_(New_York_congressional_candidate),Democratic,U.S. House New York District 3,Candidacy Declared,"Sep 8, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
314,Ryan Kalata,https://ballotpedia.org/Ryan_Kalata,Libertarian,U.S. House New York District 3,Candidacy Declared,"Sep 5, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
315,Jim Toes,https://ballotpedia.org/Jim_Toes,Republican,U.S. House New York District 3,Candidacy Declared,"Sep 5, 2023",No,No,No,Lean Democratic,Toss-up,Toss-up
316,Laura Gillen,https://ballotpedia.org/Laura_Gillen,Democratic,U.S. House New York District 4,Candidacy Declared,"Jun 30, 2023",No,No,No,Toss-up,Toss-up,Toss-up
317,Patricia Maher,https://ballotpedia.org/Patricia_M._Maher,Democratic,U.S. House New York District 4,Candidacy Declared,"May 2, 2023",No,No,No,Toss-up,Toss-up,Toss-up
318,Gian Jones,https://ballotpedia.org/Gian_Jones,Democratic,U.S. House New York District 4,Candidacy Declared,"May 25, 2023",No,No,No,Toss-up,Toss-up,Toss-up
319,Anthony D'Esposito,https://ballotpedia.org/Anthony_D'Esposito,Republican,U.S. House New York District 4,Candidacy Declared,"Jul 6, 2023",No,No,No,Toss-up,Toss-up,Toss-up
320,Lawrence Henry,https://ballotpedia.org/Lawrence_Henry,Democratic,U.S. House New York District 4,Candidacy Declared,"May 2, 2023",No,No,No,Toss-up,Toss-up,Toss-up
321,Sarah Hughes,https://ballotpedia.org/Sarah_Hughes_(New_York),Democratic,U.S. House New York District 4,Withdrew,"May 23, 2023",No,No,No,Toss-up,Toss-up,Toss-up
322,Gregory W. Meeks,https://ballotpedia.org/Gregory_Meeks,Democratic,U.S. House New York District 5,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
323,Madeline Brame,https://ballotpedia.org/Madeline_Brame,Republican,U.S. House New York District 5,Candidacy Declared,"Aug 2, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
324,Grace Meng,https://ballotpedia.org/Grace_Meng,Democratic,U.S. House New York District 6,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
325,Muzib Huq,https://ballotpedia.org/Muzib_Huq,Democratic,U.S. House New York District 6,Candidacy Declared,"Sep 25, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
326,Nydia Velazquez,https://ballotpedia.org/Nydia_Velazquez,Democratic,U.S. House New York District 7,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
327,Darrion Stewart,https://ballotpedia.org/Darrion_Stewart,Republican,U.S. House New York District 8,Candidacy Declared,"Aug 27, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
328,Hakeem Jeffries,https://ballotpedia.org/Hakeem_Jeffries,Democratic,U.S. House New York District 8,Candidacy Declared,"Jul 10, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
329,Yvette D. Clarke,https://ballotpedia.org/Yvette_Clarke,Democratic,U.S. House New York District 9,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
330,Daniel Goldman,https://ballotpedia.org/Daniel_Goldman,Democratic,U.S. House New York District 10,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
331,Nicole Malliotakis,https://ballotpedia.org/Nicole_Malliotakis,Republican,U.S. House New York District 11,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
332,Nicholas Robbins,https://ballotpedia.org/Nicholas_Robbins,Republican,U.S. House New York District 11,Candidacy Declared,"Apr 21, 2021",No,No,No,Solid Republican,Solid Republican,Safe Republican
333,Saint Jermaine Endeley,https://ballotpedia.org/Saint_Jermaine_Endeley,Democratic,U.S. House New York District 11,Candidacy Declared,"May 2, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
334,Jerrold Nadler,https://ballotpedia.org/Jerrold_Nadler,Democratic,U.S. House New York District 12,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
335,Adriano Espaillat,https://ballotpedia.org/Adriano_Espaillat,Democratic,U.S. House New York District 13,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
336,Alexandria Ocasio-Cortez,https://ballotpedia.org/Alexandria_Ocasio-Cortez,Democratic,U.S. House New York District 14,Candidacy Declared,"Jun 13, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
337,Patrick Delices,https://ballotpedia.org/Patrick_Delices,Republican,U.S. House New York District 14,Candidacy Declared,"Aug 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
338,Tina Forte,https://ballotpedia.org/Tina_Forte,Republican,U.S. House New York District 14,Candidacy Declared,"Sep 6, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
339,Ritchie Torres,https://ballotpedia.org/Ritchie_Torres,Democratic,U.S. House New York District 15,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
340,Marty Dolan,https://ballotpedia.org/Marty_Dolan,Democratic,U.S. House New York District 16,Candidacy Declared,"Oct 16, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
341,Michael Gerald,https://ballotpedia.org/Michael_Gerald,Democratic,U.S. House New York District 16,Candidacy Declared,"Aug 2, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
342,Madeline Brame,https://ballotpedia.org/Madeline_Brame,Republican,U.S. House New York District 16,Candidacy Declared,"Sep 22, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
343,Jamaal Bowman,https://ballotpedia.org/Jamaal_Bowman,Democratic,U.S. House New York District 16,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
344,Mondaire Jones,https://ballotpedia.org/Mondaire_Jones,Democratic,U.S. House New York District 17,Candidacy Declared,"Jul 11, 2023",No,No,No,Toss-up,Toss-up,Toss-up
345,Michael Lawler,https://ballotpedia.org/Michael_Lawler_(New_York),Republican,U.S. House New York District 17,Candidacy Declared,"Jul 14, 2023",No,No,No,Toss-up,Toss-up,Toss-up
346,Elizabeth Gereghty,https://ballotpedia.org/Elizabeth_Gereghty,Democratic,U.S. House New York District 17,Candidacy Declared,"May 2, 2023",No,No,No,Toss-up,Toss-up,Toss-up
347,MaryAnn Carr,https://ballotpedia.org/MaryAnn_Carr,Democratic,U.S. House New York District 17,Candidacy Declared,"Jun 29, 2023",No,No,No,Toss-up,Toss-up,Toss-up
348,Pat Ryan,https://ballotpedia.org/Pat_Ryan_(New_York),Democratic,U.S. House New York District 18,Candidacy Declared,"Jul 14, 2023",No,No,No,Lean Democratic,Lean Democratic,Lean Democratic
349,Lovelynn Gwinn,https://ballotpedia.org/Lovelynn_Gwinn,Republican,U.S. House New York District 18,Candidacy Declared,"Sep 6, 2023",No,No,No,Lean Democratic,Lean Democratic,Lean Democratic
350,Alison Esposito,https://ballotpedia.org/Alison_Esposito,Republican,U.S. House New York District 18,Candidacy Declared,"Oct 16, 2023",No,No,No,Lean Democratic,Lean Democratic,Lean Democratic
351,Josh Riley,https://ballotpedia.org/Josh_Riley,Democratic,U.S. House New York District 19,Candidacy Declared,"Apr 20, 2023",No,No,No,Toss-up,Tilt Republican,Toss-up
352,John Cerullo,https://ballotpedia.org/John_Cerullo,Democratic,U.S. House New York District 19,Candidacy Declared,"Sep 7, 2023",No,No,No,Toss-up,Tilt Republican,Toss-up
353,Marcus Molinaro,https://ballotpedia.org/Marcus_Molinaro,Republican,U.S. House New York District 19,Candidacy Declared,"Jul 14, 2023",No,No,No,Toss-up,Tilt Republican,Toss-up
354,Dan Buttermann,https://ballotpedia.org/Dan_Buttermann,Democratic,U.S. House New York District 19,Candidacy Declared,"Feb 13, 2023",No,No,No,Toss-up,Tilt Republican,Toss-up
355,Alexander Dubois,https://ballotpedia.org/Alexander_Dubois,Republican,U.S. House New York District 20,Candidacy Declared,"Nov 21, 2022",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
356,Paul Tonko,https://ballotpedia.org/Paul_Tonko,Democratic,U.S. House New York District 20,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
357,Jonathon Locke,https://ballotpedia.org/Jonathon_Locke,Republican,U.S. House New York District 20,Candidacy Declared,"Jan 18, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
358,Emmanuel Jorge-Garcia,https://ballotpedia.org/Emmanuel_Garcia,Democratic,U.S. House New York District 20,Candidacy Declared,"Jun 12, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
359,Elise Stefanik,https://ballotpedia.org/Elise_Stefanik,Republican,U.S. House New York District 21,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
360,Steven Holden,https://ballotpedia.org/Steven_Holden,Democratic,U.S. House New York District 21,Candidacy Declared,"Jul 11, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
361,Brian Rouleau,https://ballotpedia.org/Brian_Rouleau,Working Families Party,U.S. House New York District 21,Candidacy Declared,"Jul 26, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
362,Clemmie Harris,https://ballotpedia.org/Clemmie_Harris,Democratic,U.S. House New York District 22,Candidacy Declared,"May 18, 2023",No,No,No,Toss-up,Toss-up,Toss-up
363,John Mannion,https://ballotpedia.org/John_Mannion,Democratic,U.S. House New York District 22,Candidacy Declared,"Jul 19, 2023",No,No,No,Toss-up,Toss-up,Toss-up
364,Sarah Klee Hood,https://ballotpedia.org/Sarah_Klee_Hood,Democratic,U.S. House New York District 22,Candidacy Declared,"Sep 6, 2023",No,No,No,Toss-up,Toss-up,Toss-up
365,Brandon Williams,https://ballotpedia.org/Brandon_Williams_(New_York),Republican,U.S. House New York District 22,Candidacy Declared,"Jul 14, 2023",No,No,No,Toss-up,Toss-up,Toss-up
366,Katelyn Kriesel,https://ballotpedia.org/Katelyn_Kriesel,Democratic,U.S. House New York District 22,Candidacy Declared,"Feb 9, 2023",No,No,No,Toss-up,Toss-up,Toss-up
367,Jacob Addington,https://ballotpedia.org/Jacob_Addington,Democratic,U.S. House New York District 22,Candidacy Declared,"Oct 11, 2023",No,No,No,Toss-up,Toss-up,Toss-up
368,Nick Langworthy,https://ballotpedia.org/Nick_Langworthy,Republican,U.S. House New York District 23,Candidacy Declared,"Jul 18, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
369,Claudia Tenney,https://ballotpedia.org/Claudia_Tenney,Republican,U.S. House New York District 24,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
370,Joseph Morelle,https://ballotpedia.org/Joseph_Morelle,Democratic,U.S. House New York District 25,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
371,Brian Higgins,https://ballotpedia.org/Brian_Higgins,Democratic,U.S. House New York District 26,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
372,Suzanne Bonamici,https://ballotpedia.org/Suzanne_Bonamici,Democratic,U.S. House Oregon District 1,Candidacy Declared,"Aug 3, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
373,Cliff Bentz,https://ballotpedia.org/Cliff_Bentz,Republican,U.S. House Oregon District 2,Candidacy Declared,"Aug 3, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
374,Earl Blumenauer,https://ballotpedia.org/Earl_Blumenauer,Democratic,U.S. House Oregon District 3,Candidacy Declared,"Jul 21, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
375,Theodore Gwynn,https://ballotpedia.org/Theodore_Gwynn,Democratic,U.S. House Oregon District 3,Candidacy Declared,"Dec 13, 2022",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
376,Val Hoyle,https://ballotpedia.org/Val_Hoyle,Democratic,U.S. House Oregon District 4,Candidacy Declared,"Aug 3, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
377,Amy Ryan Courser,https://ballotpedia.org/Amy_Ryan_Courser,Republican,U.S. House Oregon District 4,Candidacy Declared,"Oct 10, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
378,Ibrahim Taher,https://ballotpedia.org/Ibrahim_Taher,Republican,U.S. House Oregon District 4,Candidacy Declared,"Sep 25, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
379,Raiph Huber,https://ballotpedia.org/Raiph_Huber,Republican,U.S. House Oregon District 4,Candidacy Declared,"Oct 23, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
380,Kevin Easton,https://ballotpedia.org/Kevin_Easton,Democratic,U.S. House Oregon District 5,Candidacy Declared,"Feb 17, 2023",No,No,No,Toss-up,Toss-up,Toss-up
381,Andrew Aasen,https://ballotpedia.org/Andrew_Aasen,No Party Affiliation,U.S. House Oregon District 5,Candidacy Declared,"Jul 26, 2023",No,No,No,Toss-up,Toss-up,Toss-up
382,Cameron Pahl,https://ballotpedia.org/Cameron_Pahl,Democratic,U.S. House Oregon District 5,Candidacy Declared,"May 31, 2023",No,No,No,Toss-up,Toss-up,Toss-up
383,Lori Chavez-DeRemer,https://ballotpedia.org/Lori_Chavez-DeRemer,Republican,U.S. House Oregon District 5,Candidacy Declared,"May 5, 2023",No,No,No,Toss-up,Toss-up,Toss-up
384,Lynn Peterson,https://ballotpedia.org/Lynn_Peterson,Democratic,U.S. House Oregon District 5,Candidacy Declared,"Jun 16, 2023",No,No,No,Toss-up,Toss-up,Toss-up
385,Jamie McLeod-Skinner,https://ballotpedia.org/Jamie_McLeod-Skinner,Democratic,U.S. House Oregon District 5,Candidacy Declared,"Jul 19, 2023",No,No,No,Toss-up,Toss-up,Toss-up
386,Janelle Bynum,https://ballotpedia.org/Janelle_Bynum,Democratic,U.S. House Oregon District 5,Candidacy Declared,"Jun 29, 2023",No,No,No,Toss-up,Toss-up,Toss-up
387,Denyc Boles,https://ballotpedia.org/Denyc_Boles,Republican,U.S. House Oregon District 6,Candidacy Declared,"Aug 10, 2023",No,No,No,N/A,N/A,N/A
388,Andrea Salinas,https://ballotpedia.org/Andrea_Salinas,Democratic,U.S. House Oregon District 6,Candidacy Declared,"Aug 3, 2023",No,No,No,N/A,N/A,N/A
389,David Russ,https://ballotpedia.org/David_Russ_(Oregon),Republican,U.S. House Oregon District 6,Candidacy Declared,"Sep 5, 2023",No,No,No,N/A,N/A,N/A
390,Eleanor Holmes Norton,https://ballotpedia.org/Eleanor_Holmes_Norton,Democratic,U.S. House Non-Voting Delegate District of Columbia,Candidacy Declared,"Sep 5, 2023",No,No,No,N/A,N/A,N/A
391,Kelly Mikel Williams,https://ballotpedia.org/Kelly_Mikel_Williams,Democratic,U.S. House Non-Voting Delegate District of Columbia,Candidacy Declared,"Oct 25, 2023",No,No,No,N/A,N/A,N/A
392,Joan Malone,https://ballotpedia.org/Joan_Malone,Republican,U.S. House Non-Voting Delegate District of Columbia,Candidacy Declared,"Sep 5, 2023",No,No,No,N/A,N/A,N/A
393,Jerry Carl,https://ballotpedia.org/Jerry_Carl,Republican,U.S. House Alabama District 1,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
394,Barry Moore,https://ballotpedia.org/Barry_Moore_(Alabama),Republican,U.S. House Alabama District 2,Candidacy Declared,"Jul 14, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
395,Merika Coleman,https://ballotpedia.org/Merika_Coleman,Democratic,U.S. House Alabama District 2,Candidacy Declared,"Oct 22, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
396,Sheila Tyson,https://ballotpedia.org/Sheila_Tyson,Democratic,U.S. House Alabama District 2,Candidacy Declared,"Oct 16, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
397,Terell Anderson,https://ballotpedia.org/Terrell_Anderson,Democratic,U.S. House Alabama District 2,Candidacy Declared,"Sep 5, 2023",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
398,Austin Vigue,https://ballotpedia.org/Austin_Vigue,Democratic,U.S. House Alabama District 2,Candidacy Declared,"Nov 21, 2022",No,No,No,Likely Democratic,Likely Democratic,Likely Democratic
399,Mike Rogers,https://ballotpedia.org/Mike_Rogers_(Alabama),Republican,U.S. House Alabama District 3,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
400,Nathan Woodring,https://ballotpedia.org/Nathan_Woodring,Republican,U.S. House Alabama District 3,Candidacy Declared,"Apr 28, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
401,Barron Rae Bevels,https://ballotpedia.org/Barron_Rae_Bevels,Republican,U.S. House Alabama District 3,Candidacy Declared,"Sep 25, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
402,Robert Aderholt,https://ballotpedia.org/Robert_Aderholt,Republican,U.S. House Alabama District 4,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
403,Justin Holcomb,https://ballotpedia.org/Justin_Holcomb,Republican,U.S. House Alabama District 4,Candidacy Declared,"Oct 11, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
404,Dale Strong,https://ballotpedia.org/Dale_Strong,Republican,U.S. House Alabama District 5,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
